LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID2064,2064,1,7.0,230.0952380952381,417.4761904761905,0.0,9.0,9,1.4927053303604616,1,,255.0,255.0,255.0,255.0,1785.0,0.0,1.0,Infinity,0.11318807858645218,0.4154189574942817,2.5203354212500333,1.5093932175927167,-0.16223920283055532,1.6697672891823618,7.0,16.94427190999916,0.30638117675415877,0.6086956521739131,6.404332802987884
ID2081,2081,1,189.0,297.06349206349205,397.3183421516755,0.0,2.0,2,7.756324418739616,1,,252.27272727272728,255.0,0.0,255.0,47175.0,26.300485594794388,0.9684174970444182,9.438042781774305,-0.06664679521522365,0.10449029866744625,9.67867894623094,6.642942432638179,-0.30500016629619836,1.4569867260444027,189.0,53.39611480217309,0.8330140988383363,0.9642857142857143,3.8839958396430183
ID2145,2145,1,154.0,227.16992399565692,417.21444082518997,0.0,8.0,8,6.990033442639017,1,,255.0,255.0,255.0,255.0,39015.0,0.0,0.9870550161812298,Infinity,-0.02680122819404718,0.11648700906903833,7.814833713774557,6.547951020188355,-0.5305978758515224,1.1934777290911622,153.5,45.636965558917055,0.9261572348537982,0.9839743589743589,3.6835160810543774
ID2017,2017,1,84.0,313.3192771084337,390.9076305220883,0.0,0.0,0,5.140011726956917,1,,248.78048780487805,255.0,0.0,255.0,20400.0,39.577716760276054,0.951793062904174,6.13061918051719,-0.08772739944553146,0.14514086745535254,5.429499827390856,5.344135706339612,-0.8988343039322648,1.0159734194155996,83.0,34.3388805402918,0.8845363615318285,0.9707602339181286,3.7691818113795073
ID2068,2068,1,109.0,251.34112149532712,410.34423676012466,0.0,6.0,6,5.836022431559495,1,,247.85046728971963,255.0,0.0,255.0,26520.0,42.293405467117395,0.9872611464968154,5.82269693166364,-0.01597071774684981,0.01048219776954491,6.631915223824476,5.274620029696709,0.8437232029413669,1.2573256815630398,107.0,39.3225222202085,0.8695827352972981,0.9596412556053812,3.8014517071584453
ID2037,2037,1,173.0,238.566091954023,414.12739463601537,0.0,7.0,7,7.442171739215616,1,,252.06896551724137,255.0,0.0,255.0,43860.0,27.259741050873163,0.961977186311787,9.067727664201689,-0.03699106169442484,0.048713379784244344,8.202695751257421,7.038239564102528,2.7859041980622425,1.1654470804168169,174.0,48.2469040034705,0.9393343679017636,0.9914529914529915,3.6575883533770144
ID2011,2011,1,56.0,265.83333333333337,409.5242424242424,0.0,5.0,5,4.1841419359420025,1,,241.0909090909091,255.0,0.0,255.0,13260.0,58.44189033094783,0.9622641509433963,4.045977022911788,-0.04331211466413497,-0.20563923254011648,5.645187087959628,3.5382350220204946,2.554278088340788,1.5954810951862568,55.0,29.7846789478348,0.7790883445786009,0.9734513274336283,4.016165290028408
