,x,y,z
0,-4.63481874719678,0.8492661206461931,1.5942669253179536
1,-4.844882621210801,1.1672149335648678,-0.6832611777905429
2,-5.858687437527321,1.5303593666256314,1.55960139958879
3,-5.831702400594723,1.515999600109149,1.2367959632764294
4,-5.872614685858,1.5846664791736436,0.5357477903325336
5,-6.988846851557404,2.0596500220446528,1.5574971121720604
6,-3.648073720123793,4.644844088225406,0.3256361413872384
7,-4.682109216178711,4.480496188154324,0.9561809215183571
8,-5.7234878147578465,4.255824033145099,0.40154713707052614
9,-4.681355507476374,4.557166574872542,2.124920138361394
10,-5.182370912215568,1.1569627730278156,1.3328769346093488
11,-5.176695074346614,1.1773868781753043,0.916306217022194
12,-6.399219935379,1.7803142014986824,1.3768252466420563
13,-6.329691231831509,1.8050235829773704,0.8244407186543863
14,-7.080597688192369,3.023482753604642,1.622802869301416
15,-6.766567389659753,3.443032748798845,0.5655840076478376
16,-6.508167703093638,4.681425572979616,1.6704734343863452
