,x,y,z
0,-3.662179079551332,4.2997040753144695,0.2225776405404104
1,-2.7334640926529987,4.663403479768959,-0.4503235361399419
2,-4.515425365648494,3.598323634751237,-0.24964088202877532
3,-3.7337372402570814,4.653258180439204,1.3301355279848395
4,-5.308696146857347,1.2119604261869488,0.9927260635696052
5,-6.018436484961627,1.6414799742149258,0.3164703725295802
6,-6.554393041751226,1.9198737536365338,0.9792452722482434
7,-6.728063773381949,2.0570662814181073,0.2947401465982594
8,-7.393558759476,3.6773222785478588,0.9363978854719631
9,-6.979071760011093,3.9190003953623465,0.2870926562096181
10,-7.037020590640505,4.80159140126662,1.1529410428405291
11,-5.889006768945199,5.6133263498995465,0.8553493134976285
