,id,frame,x,y,cid,point_id
0,k1_1,0.0,52.57364341085271,93.37984496124034,1,k1_1-k2_1-k3_4
1,k1_1,1.0,75.94067796610169,105.90677966101697,1,k1_1-k2_1-k3_4
2,k1_1,2.0,99.3191489361702,118.09574468085106,1,k1_1-k2_1-k3_4
3,k1_1,3.0,122.76767676767676,133.3030303030303,1,k1_1-k2_1-k3_4
4,k1_1,4.0,146.6015625,148.4609375,1,k1_1-k2_1-k3_4
5,k1_1,5.0,168.0060975609756,160.609756097561,1,k1_1-k2_1-k3_4
6,k1_1,6.0,187.2159090909091,171.65909090909093,1,k1_1-k2_1-k3_4
7,k1_1,7.0,208.64335664335664,183.95804195804197,1,k1_1-k2_1-k3_4
8,k1_1,8.0,226.99295774647888,192.40845070422534,1,k1_1-k2_1-k3_4
9,k1_1,9.0,245.425,197.47500000000002,1,k1_1-k2_1-k3_4
10,k1_1,10.0,262.0740740740741,199.68518518518516,1,k1_1-k2_1-k3_4
11,k1_1,11.0,275.5943396226415,200.9811320754717,1,k1_1-k2_1-k3_4
12,k1_1,12.0,287.0352941176471,197.50588235294117,1,k1_1-k2_1-k3_4
13,k1_1,13.0,297.8421052631579,192.33684210526314,1,k1_1-k2_1-k3_4
14,k1_1,14.0,306.1764705882353,187.58823529411762,1,k1_1-k2_1-k3_4
15,k1_1,15.0,311.70175438596493,182.17543859649118,1,k1_1-k2_1-k3_4
16,k1_1,16.0,316.6607142857143,175.375,1,k1_1-k2_1-k3_4
17,k1_1,17.0,320.10714285714283,168.35714285714278,1,k1_1-k2_1-k3_4
18,k1_1,18.0,321.1818181818182,162.59090909090907,1,k1_1-k2_1-k3_4
19,k1_1,19.0,320.46153846153845,155.4871794871795,1,k1_1-k2_1-k3_4
20,k1_1,20.0,319.5,148.5,1,k1_1-k2_1-k3_4
21,k1_1,21.0,318.2857142857143,144.5714285714286,1,k1_1-k2_1-k3_4
22,k1_1,22.0,315.8888888888889,140.33333333333331,1,k1_1-k2_1-k3_4
23,k1_1,23.0,314.3333333333333,138.1111111111111,1,k1_1-k2_1-k3_4
24,k1_1,24.0,313.1818181818182,137.1818181818182,1,k1_1-k2_1-k3_4
25,k1_2,0.0,44.371428571428574,60.60000000000002,1,k1_2-k2_3-nan
26,k1_2,1.0,50.09090909090909,59.363636363636374,1,k1_2-k2_3-nan
27,k1_2,2.0,53.63333333333333,58.366666666666674,1,k1_2-k2_3-nan
28,k1_2,3.0,56.86363636363637,57.04545454545456,1,k1_2-k2_3-nan
29,k1_2,4.0,60.15604638402903,55.854430203951665,1,k1_2-k2_3-nan
30,k1_2,5.0,59.875,54.125,1,k1_2-k2_3-nan
31,k1_2,6.0,60.0,53.5,1,k1_2-k2_3-nan
32,k1_2,7.0,60.125,50.875,1,k1_2-k2_3-nan
33,k1_2,8.0,59.2,49.60000000000002,1,k1_2-k2_3-nan
34,k1_2,9.0,57.285714285714285,49.57142857142861,1,k1_2-k2_3-nan
35,k1_2,10.0,54.0,48.75,1,k1_2-k2_3-nan
36,k1_2,11.0,51.0,48.5,1,k1_2-k2_3-nan
37,k1_2,12.0,46.0,48.833333333333314,1,k1_2-k2_3-nan
38,k1_2,13.0,40.5,49.5,1,k1_2-k2_3-nan
39,k1_2,14.0,35.46153846153846,49.461538461538396,1,k1_2-k2_3-nan
40,k1_2,15.0,30.971758270460093,49.69545835031886,1,k1_2-k2_3-nan
41,k1_2,16.0,26.48197807938173,49.92937823909921,1,k1_2-k2_3-nan
42,k1_2,17.0,20.0,52.0,1,k1_2-k2_3-nan
43,k1_3,0.0,522.0,212.0,1,k1_3-k2_5-k3_1
44,k1_3,1.0,515.2,210.39999999999998,1,k1_3-k2_5-k3_1
45,k1_3,2.0,508.5,208.75,1,k1_3-k2_5-k3_1
46,k1_3,3.0,500.3636363636364,208.09090909090907,1,k1_3-k2_5-k3_1
47,k1_3,4.0,493.0,207.5,1,k1_3-k2_5-k3_1
48,k1_3,5.0,484.0,207.71428571428572,1,k1_3-k2_5-k3_1
49,k1_3,6.0,475.57142857142856,208.85714285714278,1,k1_3-k2_5-k3_1
50,k1_3,7.0,466.5,209.77777777777777,1,k1_3-k2_5-k3_1
51,k1_3,8.0,456.44,211.92000000000002,1,k1_3-k2_5-k3_1
52,k1_3,9.0,446.0,214.3,1,k1_3-k2_5-k3_1
53,k1_3,10.0,435.6521739130435,216.3478260869565,1,k1_3-k2_5-k3_1
54,k1_3,11.0,424.4193548387097,219.06451612903226,1,k1_3-k2_5-k3_1
55,k1_3,12.0,413.1034482758621,221.65517241379308,1,k1_3-k2_5-k3_1
56,k1_3,13.0,402.35,223.52499999999998,1,k1_3-k2_5-k3_1
57,k1_3,14.0,391.8148148148149,224.8888888888889,1,k1_3-k2_5-k3_1
58,k1_3,15.0,379.8421052631579,225.31578947368422,1,k1_3-k2_5-k3_1
59,k1_3,16.0,368.7692307692308,224.69230769230768,1,k1_3-k2_5-k3_1
60,k1_3,17.0,357.5,222.5,1,k1_3-k2_5-k3_1
61,k1_3,18.0,346.3076923076923,220.0,1,k1_3-k2_5-k3_1
62,k1_3,19.0,336.2,217.17142857142858,1,k1_3-k2_5-k3_1
63,k1_3,20.0,324.6,214.2666666666667,1,k1_3-k2_5-k3_1
64,k1_3,21.0,313.05555555555554,210.1111111111111,1,k1_3-k2_5-k3_1
65,k1_3,22.0,302.6428571428572,206.85714285714278,1,k1_3-k2_5-k3_1
66,k1_3,23.0,291.1904761904762,202.66666666666669,1,k1_3-k2_5-k3_1
67,k1_3,24.0,280.0740740740741,199.25925925925918,1,k1_3-k2_5-k3_1
68,k1_4,3.0,133.0,132.0,1,k1_4-nan-nan
69,k1_5,5.0,466.82142857142856,505.0580357142857,1,k1_5-k2_6-k3_7
70,k1_5,6.0,478.0843373493976,473.03212851405624,1,k1_5-k2_6-k3_7
71,k1_5,7.0,488.4512195121951,441.2642276422764,1,k1_5-k2_6-k3_7
72,k1_5,8.0,497.7142857142857,409.7637362637363,1,k1_5-k2_6-k3_7
73,k1_5,9.0,505.6740740740741,380.05925925925925,1,k1_5-k2_6-k3_7
74,k1_5,10.0,511.8043478260869,352.92391304347825,1,k1_5-k2_6-k3_7
75,k1_5,11.0,517.1630434782609,328.4239130434783,1,k1_5-k2_6-k3_7
76,k1_5,12.0,521.7176470588236,305.9058823529412,1,k1_5-k2_6-k3_7
