,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,channel9,channel10,channel11
channel1,,,,,,,,3.635,,,
channel2,,,,,,,,3.552,,,
channel3,,,,,,,,3.554,,,
channel4,,,,,,,,3.177,,,
channel5,,,,,,,,3.136,,,
channel6,,,,,,,,3.09,,,
channel7,,,,,,,,3.373,,,
channel8,3.635,3.552,3.554,3.177,3.136,3.09,3.373,0.0,,,1.2
channel9,,,,,,,,,0.0,0.0,
channel10,,,,,,,,,0.0,0.0,
channel11,,,,,,,,1.2,,,0.0
