,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,channel9,channel10,channel11
channel1,0.0,NaN,1.2,1.2,4.77,4.774,4.29,4.2,4.343,3.466,3.099
channel2,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
channel3,1.2,NaN,0.0,2.078460969082653,NaN,NaN,NaN,NaN,NaN,NaN,NaN
channel4,1.2,NaN,2.078460969082653,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
channel5,4.77,NaN,NaN,NaN,NaN,0.691,1.834,2.26,2.636,3.654,3.69
channel6,4.774,NaN,NaN,NaN,0.691,NaN,1.49,NaN,2.482,3.607,3.567
channel7,4.29,NaN,NaN,NaN,1.834,1.49,NaN,0.42,1.068,2.289,2.257
channel8,4.2,NaN,NaN,NaN,2.26,NaN,0.42,NaN,0.716,1.919,1.904
channel9,4.343,NaN,NaN,NaN,2.636,2.482,1.068,0.716,NaN,NaN,NaN
channel10,3.466,NaN,NaN,NaN,3.654,3.607,2.289,1.919,NaN,NaN,0.613
channel11,3.099,NaN,NaN,NaN,3.69,3.567,2.257,1.904,NaN,0.613,NaN
