,id,frame,row,col,t,state,generation,root,parent,dummy,axis_minor_length,orientation,eccentricity,solidity,area,axis_major_length
0,1.0,0.0,418.7329192546584,52.53416149068323,0,5,0,1,1,False,9.057215003388652,-1.2142189689636669,0.9197200450348848,0.936046511627907,161.0,23.071305362729472
1,1.0,1.0,406.0413223140496,75.9504132231405,1,5,0,1,1,False,8.240138850474624,-1.165484921451497,0.9026761597508017,0.8962962962962963,121.0,19.148840113981542
2,1.0,2.0,393.8871794871795,99.2974358974359,2,5,0,1,1,False,10.97513452120931,-1.090979207725138,0.8839065877223095,0.9027777777777778,195.0,23.46801631503454
3,1.0,3.0,379.19875776397515,127.5,3,5,0,1,1,False,14.741111266321356,-1.4278647845606942,0.8667959724948094,0.9470588235294117,322.0,29.561272071582305
4,1.0,4.0,363.5736434108527,146.5968992248062,4,5,0,1,1,False,8.483595176357483,-1.1677992757272493,0.9032199197238339,0.9214285714285714,129.0,19.76707728345573
5,1.0,5.0,351.46938775510205,168.23809523809524,5,5,0,1,1,False,9.484023791709177,-1.0764071365845223,0.8805516557279673,0.9363057324840764,147.0,20.01059185766468
6,1.0,6.0,340.3103448275862,187.17241379310346,6,5,0,1,1,False,7.775692615124731,-1.1538147127845717,0.8386656327107402,0.9354838709677419,87.0,14.276582507057427
7,1.0,7.0,328.07586206896553,208.53103448275863,7,5,0,1,1,False,9.65708426227303,-1.1374662514647977,0.8655310827160093,0.9477124183006536,145.0,19.281189458953822
8,1.0,8.0,319.5733333333333,227.01333333333332,8,5,0,1,1,False,10.519080424778497,-1.3451442317115465,0.8325922319638208,0.9202453987730062,150.0,18.99140309354436
9,1.0,9.0,314.568,245.248,9,5,0,1,1,False,9.781949872540816,-1.4273454004065083,0.809871712417011,0.946969696969697,125.0,16.67547326737981
10,1.0,10.0,312.2710280373832,262.05607476635515,10,5,0,1,1,False,11.164098798549594,-1.0941716177118184,0.4379281578439271,0.963963963963964,107.0,12.418214652189368
11,1.0,11.0,311.10869565217394,275.5978260869565,11,5,0,1,1,False,10.155274176059912,0.5619179217305262,0.4752817272577914,0.9583333333333334,92.0,11.542265963558105
12,1.0,12.0,314.578313253012,287.13253012048193,12,5,0,1,1,False,8.839835391336994,1.035591277369453,0.6843363772438688,0.9540229885057471,83.0,12.123206299604238
13,1.0,13.0,319.625,297.8854166666667,13,5,0,1,1,False,10.50182013781068,-1.2595167575911004,0.4611997051217025,0.9504950495049505,96.0,11.835752518617602
14,1.0,14.0,324.5820895522388,306.0149253731343,14,5,0,1,1,False,8.376446610938117,-0.9362517792132729,0.5730386712511035,0.9852941176470589,67.0,10.221058039617049
15,1.0,15.0,329.68674698795184,311.8072289156627,15,5,0,1,1,False,10.059067215020928,0.39961404767992625,0.3027838571955658,0.9540229885057471,83.0,10.554503515906207
16,1.0,16.0,336.7068965517241,316.6034482758621,16,5,0,1,1,False,8.352534314710246,0.45533733112450436,0.353439145373461,0.9508196721311475,58.0,8.92882267969792
17,1.0,17.0,343.65384615384613,320.11538461538464,17,5,0,1,1,False,4.8124978767497595,-0.514303458434009,0.7053714156435726,1.0,26.0,6.789278463585181
18,1.0,18.0,349.44827586206895,321.3448275862069,18,5,0,1,1,False,5.019618755450226,-0.603701596649833,0.7309275040773101,0.9666666666666667,29.0,7.355236478170734
19,1.0,19.0,356.5128205128205,320.46153846153845,19,5,0,1,1,False,6.324673725912595,-0.44743911103899986,0.5985336691574593,0.9069767441860465,39.0,7.895009698023701
20,1.0,20.0,363.46153846153845,319.2692307692308,20,5,0,1,1,False,4.874168904044986,-1.349060839197182,0.7059989234403811,0.8387096774193549,26.0,6.882349733184916
21,1.0,21.0,367.55172413793105,318.2413793103448,21,5,0,1,1,False,5.536655494147085,-1.1838662198549021,0.5598130101405144,0.90625,29.0,6.681787057485472
22,1.0,22.0,371.5,316.0,22,5,0,1,1,False,4.0,1.5707963267948966,0.5773502691896258,1.0,16.0,4.898979485566356
23,1.0,23.0,374.0,314.5,23,5,0,1,1,False,2.8284271247461903,1.5707963267948966,0.5773502691896258,1.0,8.0,3.4641016151377544
24,1.0,24.0,374.6666666666667,313.0,24,5,0,1,1,False,4.216370213557839,1.5707963267948966,0.6123724356957945,1.0,18.0,5.333333333333333
25,1.0,25.0,375.5,311.0,25,5,0,1,1,False,3.9932849113038276,-1.167460552084142,0.6934837441847964,1.0,18.0,5.542593461893073
26,1.0,26.0,373.5,310.6388888888889,26,5,0,1,1,False,6.411299839514606,1.4249039234389498,0.45640400318644225,0.9230769230769231,36.0,7.2055482599081015
27,1.0,27.0,370.2105263157895,311.36842105263156,27,5,0,1,1,False,4.711757099842153,0.10933447293697086,0.3942680667296094,0.95,19.0,5.127073205848133
28,1.0,28.0,367.05128205128204,312.28205128205127,28,5,0,1,1,False,6.776852923299626,0.614560436662056,0.3713537980875991,0.9512195121951219,39.0,7.298778019431634
29,1.0,29.0,361.92,315.44,29,5,0,1,1,False,5.01975207646152,-1.4218235626891105,0.5921184607712484,0.9615384615384616,25.0,6.229132290364385
30,1.0,30.0,357.875,318.875,30,5,0,1,1,False,2.7386127875258306,-0.7853981633974483,0.6123724356957945,1.0,8.0,3.4641016151377544
31,1.0,31.0,354.4,322.72,31,5,0,1,1,False,5.291871248742438,1.4361142906451052,0.48595652388375227,0.8928571428571429,25.0,6.054890476856963
32,1.0,32.0,349.75,327.6666666666667,32,5,0,1,1,False,3.631321610887408,1.2251278624101658,0.4907192147942729,0.9230769230769231,12.0,4.167620293867669
