,id,frame,row,col,t,state,generation,root,parent,dummy,axis_minor_length,area,orientation,eccentricity,axis_major_length,solidity
0,1.0,0.0,216.11111111111111,314.679012345679,0,5,0,1,1,False,6.966568744440525,81.0,-1.249275140200768,0.8867585310927242,15.07155347250886,0.9204545454545454
1,1.0,1.0,212.31521739130434,327.7826086956522,1,5,0,1,1,False,8.565359398146763,92.0,-1.4765291793734474,0.8256999577603357,15.183858278382608,0.8440366972477065
2,1.0,2.0,210.327868852459,340.7704918032787,2,5,0,1,1,False,6.389996575560017,61.0,-0.9991706931260036,0.8549446414163218,12.318795915167067,0.9384615384615385
3,1.0,3.0,207.88888888888889,349.51851851851853,3,5,0,1,1,False,6.162459082058134,54.0,-1.0913780036556624,0.8502741285068851,11.708131340592786,0.8852459016393442
4,1.0,4.0,204.25,358.48214285714283,4,5,0,1,1,False,6.73834967871335,56.0,-1.3952818332599821,0.7810736233034934,10.79104649344586,0.9491525423728814
5,1.0,5.0,202.47916666666666,366.6041666666667,5,5,0,1,1,False,6.4685279123692405,48.0,-1.0277062917250614,0.7810810859101807,10.359098629932905,0.9411764705882353
6,1.0,6.0,201.22033898305085,372.271186440678,6,5,0,1,1,False,6.404270649023143,59.0,-0.9575694144712409,0.8556311505692921,12.373344431287716,0.9365079365079365
7,1.0,7.0,200.29787234042553,376.6170212765957,7,5,0,1,1,False,6.662817666833952,47.0,-0.8493244369949281,0.6663158745736362,8.935348375871552,0.9791666666666666
8,1.0,8.0,201.1086956521739,380.6304347826087,8,5,0,1,1,False,7.08098349279216,46.0,1.2695151840887575,0.5031602126912892,8.193751007477376,1.0
9,1.0,9.0,202.98275862068965,384.2413793103448,9,5,0,1,1,False,8.038181246365024,58.0,0.7197628505415125,0.502603256255174,9.297884838210063,0.9508196721311475
10,1.0,10.0,206.375,387.5625,10,5,0,1,1,False,5.938923269281454,48.0,-0.0005696380332383806,0.8213851826967211,10.412333571375212,0.96
11,1.0,11.0,211.07692307692307,389.25,11,5,0,1,1,False,7.236192325519474,52.0,-0.3927646497361155,0.8039861481477866,12.16886632395728,0.7123287671232876
12,1.0,12.0,218.21818181818182,387.2909090909091,12,5,0,1,1,False,6.213359909304214,55.0,-0.3709122484223791,0.836522554159587,11.339644926857419,0.9482758620689655
13,1.0,13.0,226.30769230769232,385.6666666666667,13,5,0,1,1,False,6.1088451866922755,39.0,-0.44416676516504144,0.6951270234829526,8.497643945727154,0.9285714285714286
14,1.0,14.0,232.89583333333334,383.8125,14,5,0,1,1,False,5.624282028537336,48.0,-0.6787251540837642,0.8601923857804498,11.028659961770552,0.9230769230769231
15,1.0,15.0,241.23333333333332,379.03333333333336,15,5,0,1,1,False,5.7681177869994125,60.0,-0.6341720599288554,0.9001975881265378,13.245373845475713,0.9230769230769231
16,1.0,16.0,248.9,373.71666666666664,16,5,0,1,1,False,7.025535969406216,60.0,-0.6223080131680099,0.788093617025665,11.413328461268502,0.9230769230769231
17,1.0,17.0,257.8536585365854,368.9268292682927,17,5,0,1,1,False,5.04989451081272,41.0,-0.6834994028762842,0.8729191602490779,10.351010563374192,0.9318181818181818
18,1.0,18.0,266.3777777777778,362.26666666666665,18,5,0,1,1,False,6.250686629760862,45.0,-0.739897460078172,0.7356367244730945,9.227790988805067,0.9375
19,1.0,19.0,274.3255813953488,353.25581395348837,19,5,0,1,1,False,5.691329817815163,43.0,-0.8190992270160408,0.8043380105651462,9.578589742458657,0.9347826086956522
20,1.0,20.0,282.3125,345.0625,20,5,0,1,1,False,4.874696923023274,32.0,-1.0237848368006577,0.8145410011643737,8.40311429820322,0.9696969696969697
21,1.0,21.0,289.1034482758621,336.58620689655174,21,5,0,1,1,False,4.391026779866284,29.0,-1.1735832944463724,0.8510833162751821,8.363372190757556,0.9666666666666667
22,1.0,22.0,295.0769230769231,327.4871794871795,22,5,0,1,1,False,5.455975555149929,39.0,-1.0260435227530174,0.7982000370498188,9.057177387798344,0.9512195121951219
23,1.0,23.0,300.65,318.45,23,5,0,1,1,False,3.938749486841458,20.0,-1.3754042623579934,0.7829373056164398,6.331370505657219,0.9523809523809523
24,1.0,24.0,304.93333333333334,309.6666666666667,24,5,0,1,1,False,3.0484451785557387,15.0,-1.4763089736613804,0.860439603151109,5.982593621313813,1.0
25,1.0,25.0,307.8,301.5,25,5,0,1,1,False,2.9933259094191533,10.0,1.5707963267948966,0.6831300510639732,4.09878030638384,1.0
26,1.0,26.0,309.5,296.0,26,5,0,1,1,False,0.0,2.0,0.0,1.0,2.0,1.0
27,1.0,27.0,309.875,289.875,27,5,0,1,1,False,2.7386127875258306,8.0,-0.7853981633974483,0.6123724356957945,3.4641016151377544,1.0
28,2.0,0.0,346.09090909090907,24.21212121212121,0,5,0,2,2,False,6.218822084763518,33.0,-0.994510328187063,0.416213573387545,6.83938039869262,0.9705882352941176
29,2.0,1.0,350.10526315789474,25.763157894736842,1,5,0,2,2,False,4.904639643224706,38.0,-0.8002430907665555,0.8701793165788327,9.953905969122411,0.926829268292683
30,2.0,2.0,354.4848484848485,24.272727272727273,2,5,0,2,2,False,3.7884712554880684,33.0,-0.6917316871213178,0.9505970099498199,12.204039425205856,0.825
31,2.0,3.0,355.67241379310343,23.74137931034483,3,5,0,2,2,False,6.225530718424292,58.0,-0.6131539487633271,0.8754355666319067,12.880368200907888,0.90625
32,2.0,4.0,361.0869565217391,21.08695652173913,4,5,0,2,2,False,5.57336360311724,46.0,-1.0906212971913696,0.8604617003184183,10.938563612880966,0.8846153846153846
