,id,frame,row,col,t,state,generation,root,parent,dummy,area,solidity,axis_major_length,eccentricity,orientation,axis_minor_length
0,1.0,0.0,286.9791666666667,393.0104166666667,0,5,0,1,1,False,96.0,0.7559055118110236,17.645201046636654,0.8759205731883362,-0.8536461254511263,8.51302136738481
1,1.0,1.0,275.1855670103093,395.4020618556701,1,5,0,1,1,False,97.0,0.6736111111111112,21.08629619746039,0.9077492919593271,1.2200303516420687,8.845977029818046
2,1.0,2.0,267.0774647887324,403.0633802816901,2,5,0,1,1,False,142.0,0.8765432098765432,20.779294791361618,0.8917784493288613,-1.0549108148520796,9.402055652095363
3,1.0,3.0,256.20388349514565,406.3009708737864,3,5,0,1,1,False,103.0,0.9363636363636364,15.421042671175218,0.8006633768416797,-0.8833082490874555,9.238969920314846
4,1.0,4.0,246.19607843137254,407.4901960784314,4,5,0,1,1,False,51.0,0.9272727272727272,9.832329171285679,0.7194851189868929,-0.9942357538049986,6.828629862929559
5,1.0,5.0,239.96774193548387,408.758064516129,5,5,0,1,1,False,62.0,0.9393939393939394,10.070999006294281,0.6068509951375847,-0.7071290880916731,8.004587318602384
6,1.0,6.0,232.05128205128204,407.84615384615387,6,5,0,1,1,False,39.0,0.9285714285714286,7.979823892380013,0.6084068524219368,-0.7608424109444907,6.332990055758662
7,1.0,7.0,226.84848484848484,406.030303030303,7,5,0,1,1,False,33.0,0.8918918918918919,7.823406687881596,0.7190103988133615,-0.6193835664630074,5.437262280870527
8,1.0,8.0,223.35897435897436,404.6666666666667,8,5,0,1,1,False,39.0,0.9285714285714286,8.30698300542892,0.6486160240768906,-0.811499247042174,6.322575973749411
9,1.0,9.0,221.37878787878788,402.7121212121212,9,5,0,1,1,False,66.0,0.8148148148148148,11.55225765740877,0.7131056536109753,-0.24877056964476077,8.09878623161966
10,1.0,10.0,219.56190476190477,399.87619047619046,10,5,0,1,1,False,105.0,0.7191780821917808,17.7252138004396,0.8223753986306025,0.27658546439707776,10.08467629403457
11,1.0,11.0,225.58024691358025,395.9382716049383,11,5,0,1,1,False,81.0,0.9,13.528849046762547,0.7820866954199325,-0.5054150422825738,8.430767996917416
12,1.0,12.0,229.53030303030303,388.6515151515151,12,5,0,1,1,False,66.0,0.9041095890410958,14.098814025413974,0.8975032928660216,-0.5450075797959072,6.21768631071275
13,1.0,13.0,235.39285714285714,381.8452380952381,13,5,0,1,1,False,84.0,0.8155339805825242,14.719031865156976,0.8375064382062152,-0.6850469406687248,8.042883154268694
14,1.0,14.0,242.50666666666666,373.9066666666667,14,5,0,1,1,False,75.0,0.8823529411764706,16.949955065875898,0.9306274833928313,-0.8238463594822354,6.203139074363806
15,1.0,15.0,249.53246753246754,362.8961038961039,15,5,0,1,1,False,77.0,0.8850574712643678,20.259940392699786,0.9678500378538653,-0.8010731048340252,5.095941056421206
16,1.0,16.0,254.0,353.83838383838383,16,5,0,1,1,False,99.0,0.8918918918918919,14.892786369745973,0.7931353673147962,-0.6740991288544284,9.07038290761908
17,1.0,17.0,261.7439024390244,344.0487804878049,17,5,0,1,1,False,82.0,0.8913043478260869,17.179935181973406,0.9291380805318301,-0.9124175157243432,6.3519874881174605
18,1.0,18.0,269.5416666666667,331.02777777777777,18,5,0,1,1,False,72.0,0.8780487804878049,14.29871985694207,0.86867633353794,-0.9604049474293054,7.0833010427742735
19,1.0,19.0,276.03076923076924,317.95384615384614,19,5,0,1,1,False,65.0,0.9420289855072463,12.76346848194032,0.8611767893777112,-0.969783992205382,6.487741932863783
20,1.0,20.0,283.09722222222223,305.43055555555554,20,5,0,1,1,False,72.0,0.9230769230769231,15.466052032183905,0.919877001187284,-1.1949104110569815,6.065893314119027
21,1.0,21.0,288.5897435897436,292.4102564102564,21,5,0,1,1,False,39.0,0.9069767441860465,10.678311454069496,0.8957440937368458,-1.2627299554088045,4.747257327088861
22,1.0,22.0,293.125,277.4375,22,5,0,1,1,False,48.0,0.96,11.523667126210649,0.8817066685736202,-1.2621847046681935,5.436843075807748
23,1.0,23.0,297.0357142857143,264.9107142857143,23,5,0,1,1,False,56.0,0.9824561403508771,13.30381363339924,0.9166059954885073,-1.5288196817628121,5.318755028451536
24,1.0,24.0,299.4736842105263,250.55789473684212,24,5,0,1,1,False,95.0,0.8260869565217391,20.495485741903952,0.9470830018474861,-1.4953681382617066,6.5788206677129475
25,1.0,25.0,299.72340425531917,239.59574468085106,25,5,0,1,1,False,47.0,0.9038461538461539,11.050055287974153,0.8621959390017657,1.4582940524546955,5.597681017423475
26,1.0,26.0,299.5,229.0,26,5,0,1,1,False,8.0,1.0,4.976979969245306,0.9325316965091067,1.380543138238714,1.7971283720789095
27,1.0,27.0,297.0769230769231,218.96153846153845,27,5,0,1,1,False,26.0,0.9629629629629629,7.144958846725348,0.7693817353661786,1.2138496240566101,4.5641231231568336
28,1.0,28.0,294.75,210.58333333333334,28,5,0,1,1,False,12.0,0.9230769230769231,4.418071998329191,0.6461621652955031,1.0111247091737254,3.371873174730685
29,1.0,29.0,296.7571386237684,198.3669522277373,29,5,0,1,1,True,16.5,0.8990384615384616,5.024500044199474,0.5861198049158438,0.9293501849222771,4.080310442195469
30,1.0,30.0,288.57142857142856,199.85714285714286,30,5,0,1,1,False,21.0,0.875,5.630928090069756,0.5260774445361847,0.8475756606708287,4.788747709660251
31,1.0,31.0,286.0,195.5,31,5,0,1,1,False,2.0,1.0,2.0,1.0,1.5707963267948966,0.0
32,1.0,32.0,283.46666666666664,193.6,32,5,0,1,1,False,15.0,0.9375,5.7681210284018105,0.8215011156099433,0.4173427841951494,3.289022452127339
33,1.0,33.0,280.2173913043478,191.30434782608697,33,5,0,1,1,False,23.0,0.9583333333333334,6.211601494667216,0.6598092915007954,1.2368003826236529,4.667602946740805
34,1.0,34.0,278.6666666666667,188.75,34,5,0,1,1,False,12.0,0.9230769230769231,4.167620293867669,0.4907192147942729,0.34566846438473087,3.631321610887408
35,1.0,35.0,279.4599231534524,182.5326363389209,35,5,0,1,1,True,12.0,0.9487179487179488,4.218578128891304,0.5125956899509109,0.7540444185214528,3.617584364399273
36,1.0,36.0,280.2531796402381,176.3152726778418,36,5,0,1,1,True,12.0,0.9743589743589743,4.269535963914939,0.5344721651075488,1.1624203726581745,3.603847117911138
37,1.0,37.0,275.1666666666667,187.0,37,5,0,1,1,False,12.0,1.0,4.320493798938574,0.5563486402641867,1.5707963267948966,3.590109871423003
