LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID7824,7824,70,379,529.4775726,220.2401055,0,145,145,10.98359899,1,,255,255,255,255,96645,0,0.982563208,Infinity,-0.026317078,-0.346576192,14.11419984,8.926974952,2.908690994,1.581073087,379,96,0.516781083,0.926650367,4.931188771
ID7827,7827,70,573,556.9057592,214.0942408,0,144,144,13.50524212,1,,255,255,255,255,146115,0,0.998837209,Infinity,0.359409056,-0.477226085,15.30978809,12.33005446,3.084425489,1.241664272,573,126,0.453548146,0.855862584,5.263725514
ID7956,7956,70,255,437.5294118,277.345098,0,157,157,9.009385161,1,,255,255,255,255,65025,0,1,Infinity,-0.093939578,0.075914158,10.77173672,7.53587632,-1.570388237,1.429394043,255,76,0.554782636,0.925589837,4.759304612
ID8086,8086,70,120,271.7916667,287.625,0,188,188,6.180387232,1,,255,255,255,255,30600,0,0.92513369,Infinity,0.010204011,-0.135970372,7.786802431,5.164956584,0.0625472,1.507622049,120,50,0.603185789,0.923076923,4.564354646
ID7959,7959,70,68,416.0882353,306.9705882,0,163,163,4.652426492,1,,255,255,255,255,17340,0,1,Infinity,0.001118573,0.039441495,4.952969855,4.542143123,0.284589371,1.090447773,68,38,0.591768145,0.888888889,4.608176876
ID7835,7835,70,332,487.5451807,231.6114458,0,147,147,10.28002345,1,,255,255,255,255,84660,0,1,Infinity,-0.034539001,-0.260788705,12.52935809,8.564603966,2.94396727,1.462923229,332,84,0.591274808,0.94721826,4.61009892
ID8347,8347,70,-1,280,279,0,178,178,3.999999985,1,,0,0,0,0,0,0,-1,#NAME?,0,0,3.999999985,3.999999985,0,1,50.26548208,25.13274114,1,1,3.544907702
ID7964,7964,70,9,421.3333333,305.2222222,0,161,161,1.692568751,1,,255,255,255,255,2295,0,1,Infinity,0.056618766,0.045677288,2.722758503,1.218185194,0.975449708,2.23509407,9,18,0.34906585,0.72,6
ID8093,8093,70,168,266.3690476,286.1190476,0,187,187,7.312732791,1,,255,255,255,255,42840,0,0.98816568,Infinity,0.179516187,-0.106283039,12.23814003,4.47487744,-0.01780259,2.734854797,168,80,0.329867229,0.850632911,6.172133998
ID8350,8350,70,-1,271.5,282,0,179,179,3.999999985,1,,29.26229508,0,0,255,1785,81.94935461,0.741342756,0.304037833,0,0,3.999999985,3.999999985,0,1,50.26548208,25.13274114,1,1,3.544907702
