LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID4432,4432,1,392,551.4846939,79.07397959,0,5,5,11.17038385,1,,255,255,255,255,99960,0,0.984810127,Infinity,-0.406484407,-0.18985281,16.81774096,7.877254995,0.947168797,2.134974806,392,118,0.353778891,0.854961832,5.959900013
ID4513,4513,1,233,610.639485,115.27897,0,8,8,8.61198023,1,,255,255,255,255,59415,0,1,Infinity,0.009478429,-0.203668669,10.859118,6.937063839,0.023032499,1.565376686,233,72,0.564807938,0.930139721,4.716876831
ID4465,4465,1,303,588.4950495,108.4026403,0,7,7,9.820788946,1,,255,255,255,255,77265,0,1,Infinity,-0.042398858,-0.032416563,11.35011704,8.431701357,0.327472527,1.346124175,303,82,0.566271609,0.936630603,4.710776915
ID4418,4418,1,246,535.0325203,46.39430894,0,3,3,8.848967849,1,,255,255,255,255,62730,0,1,Infinity,-0.019012573,-0.024608709,10.39692752,7.465427613,1.526864212,1.392676757,246,74,0.564522858,0.931818182,4.718067677
ID4419,4419,1,242,539.2809917,9.280991736,0,1,1,8.776730169,1,,255,255,255,255,61710,0,0.718343195,Infinity,0.242400353,-0.007649672,9.932962648,7.96678989,-1.294982349,1.246796111,242,72,0.586624554,0.937984496,4.628335295
ID4439,4439,1,190,542.3157895,65.57368421,0,4,4,7.776816725,1,,255,255,255,255,48450,0,1,Infinity,-0.076743315,0.003998538,9.263898972,6.529584308,0.77591863,1.418757847,190,64,0.582912699,0.935960591,4.643048001
ID4474,4474,1,237,629.6118143,116.7890295,0,9,9,8.685588237,1,,255,255,255,255,60435,0,0.684834123,Infinity,-0.038427414,-0.132857655,10.40777086,7.397363206,-0.060258986,1.406956853,237,72,0.574504212,0.929411765,4.676902578
