LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID2176,2176,0,628.0,138.77707006369425,169.48407643312103,0.0,53.0,53,14.138550439257221,1,,255.0,255.0,255.0,255.0,160140.0,0.0,1.0,Infinity,0.1483648921749666,-0.47224546823492897,16.93529827093435,12.354138971642227,0.8903550257961428,1.3708197964915034,628.0,138.0,0.4143919736304117,0.8977841315225161,5.506799502826593
ID2048,2048,0,406.0,493.5689655172414,367.35960591133005,0.0,13.0,13,11.368105109938904,1,,255.0,255.0,255.0,255.0,103530.0,0.0,0.9950859950859952,Infinity,1.4500653972206092,-0.03457791449650025,15.377240145844713,9.578723144144448,2.6417914552917265,1.6053538571312551,406.0,96.0,0.5535966221169514,0.9344073647871116,4.764400003060465
ID2177,2177,0,580.0,234.66034482758621,299.57586206896553,0.0,47.0,47,13.587484461319487,1,,255.0,255.0,255.0,255.0,147900.0,0.0,0.9977037887485648,Infinity,-0.47849377731575415,1.0088703180384995,19.24689180939249,10.019893293033531,2.3542067018053827,1.920867942054249,579.9999999999998,134.0,0.4059086075032478,0.8895705521472391,5.564047150200579
ID2054,2054,0,464.0,474.8534482758621,359.19827586206895,0.0,15.0,15,12.153015559492998,1,,255.0,255.0,255.0,255.0,118320.0,0.0,0.994269340974212,Infinity,-0.04619091306359689,0.049524214859782964,14.254022390781309,10.531349650572785,0.7987729529105814,1.353484867915866,464.0,108.0,0.4998967734107216,0.928928928928929,5.0137741307804005
ID2184,2184,0,410.0,233.4658536585366,313.0073170731707,0.0,46.0,46,11.42396837072627,1,,255.0,255.0,255.0,255.0,104550.0,0.0,0.9951338199513382,Infinity,-0.1696804775946009,0.026119170747610828,12.048042038255078,11.030520924660015,1.448821117483188,1.0922459710239318,410.0000000000001,100.0,0.5152211951887262,0.9244644870349494,4.9386479832479475
ID2057,2057,0,300.0,483.85,363.33666666666664,0.0,14.0,14,9.772050238058398,1,,255.0,255.0,255.0,255.0,76500.0,0.0,1.0,Infinity,0.14437342976196121,-0.08902615881529252,11.695669801642044,8.173988323072216,-0.45649380200342865,1.4308400427523726,300.0,86.0,0.5097229832757911,0.9146341463414634,4.965212315030781
ID2058,2058,0,461.0,428.0650759219089,335.15618221258137,0.0,19.0,19,12.11366408361762,1,,255.0,255.0,255.0,255.0,117555.0,0.0,0.9985549132947978,Infinity,-0.050550242602957006,0.2912957493766306,12.893065139358804,11.484206155312513,0.4570105270075733,1.1226779600603531,460.9999999999999,106.0,0.515583557602312,0.9238476953907813,4.936912188025797
