,col_index,row_index,camera_id,frame_number,file_name,tracking_parameters
0,92.79729461669922,272.2837829589844,K1,1,2018-07-28_K1_P00_35000_0001.png,bat_thresh:0.2&bat_area:3
1,113.54877471923828,267.93902587890625,K1,2,2018-07-28_K1_P00_35000_0002.png,bat_thresh:0.2&bat_area:3
2,133.0,268.0,K1,3,2018-07-28_K1_P00_35000_0003.png,bat_thresh:0.2&bat_area:3
3,151.0,268.5,K1,4,2018-07-28_K1_P00_35000_0004.png,bat_thresh:0.2&bat_area:3
4,167.70001220703125,272.1000061035156,K1,5,2018-07-28_K1_P00_35000_0005.png,bat_thresh:0.2&bat_area:3
5,182.5,276.0,K1,6,2018-07-28_K1_P00_35000_0006.png,bat_thresh:0.2&bat_area:3
6,197.08197021484375,278.5983581542969,K1,7,2018-07-28_K1_P00_35000_0007.png,bat_thresh:0.2&bat_area:3
7,211.0,282.5,K1,8,2018-07-28_K1_P00_35000_0008.png,bat_thresh:0.2&bat_area:3
8,222.67623901367188,286.93853759765625,K1,9,2018-07-28_K1_P00_35000_0009.png,bat_thresh:0.2&bat_area:3
9,234.0,291.0,K1,10,2018-07-28_K1_P00_35000_0010.png,bat_thresh:0.2&bat_area:3
10,244.40005493164062,293.2000427246094,K1,11,2018-07-28_K1_P00_35000_0011.png,bat_thresh:0.2&bat_area:3
11,252.5,296.5,K1,12,2018-07-28_K1_P00_35000_0012.png,bat_thresh:0.2&bat_area:3
12,261.94891357421875,300.1094665527344,K1,13,2018-07-28_K1_P00_35000_0013.png,bat_thresh:0.2&bat_area:3
13,266.0,301.5,K1,14,2018-07-28_K1_P00_35000_0014.png,bat_thresh:0.2&bat_area:3
14,271.0,303.0,K1,15,2018-07-28_K1_P00_35000_0015.png,bat_thresh:0.2&bat_area:3
15,275.60003662109375,303.7000427246094,K1,16,2018-07-28_K1_P00_35000_0016.png,bat_thresh:0.2&bat_area:3
16,278.5,304.0,K1,17,2018-07-28_K1_P00_35000_0017.png,bat_thresh:0.2&bat_area:3
17,281.1153564453125,302.42303466796875,K1,18,2018-07-28_K1_P00_35000_0018.png,bat_thresh:0.2&bat_area:3
18,284.2500305175781,300.7500305175781,K1,19,2018-07-28_K1_P00_35000_0019.png,bat_thresh:0.2&bat_area:3
19,286.0,298.0,K1,20,2018-07-28_K1_P00_35000_0020.png,bat_thresh:0.2&bat_area:3
20,287.941162109375,292.76470947265625,K1,21,2018-07-28_K1_P00_35000_0021.png,bat_thresh:0.2&bat_area:3
21,290.07354736328125,288.04412841796875,K1,22,2018-07-28_K1_P00_35000_0022.png,bat_thresh:0.2&bat_area:3
22,290.5000305175781,283.5000305175781,K1,23,2018-07-28_K1_P00_35000_0023.png,bat_thresh:0.2&bat_area:3
23,292.0000305175781,276.5000305175781,K1,24,2018-07-28_K1_P00_35000_0024.png,bat_thresh:0.2&bat_area:3
24,293.0,272.0,K1,25,2018-07-28_K1_P00_35000_0025.png,bat_thresh:0.2&bat_area:3
25,292.38238525390625,266.97064208984375,K1,26,2018-07-28_K1_P00_35000_0026.png,bat_thresh:0.2&bat_area:3
26,290.29998779296875,262.8999938964844,K1,27,2018-07-28_K1_P00_35000_0027.png,bat_thresh:0.2&bat_area:3
27,288.2200012207031,258.9599914550781,K1,28,2018-07-28_K1_P00_35000_0028.png,bat_thresh:0.2&bat_area:3
28,284.2926940917969,256.6341552734375,K1,29,2018-07-28_K1_P00_35000_0029.png,bat_thresh:0.2&bat_area:3
29,279.4324645996094,255.40541076660156,K1,30,2018-07-28_K1_P00_35000_0030.png,bat_thresh:0.2&bat_area:3
30,274.5,256.0,K1,31,2018-07-28_K1_P00_35000_0031.png,bat_thresh:0.2&bat_area:3
31,267.5,257.0,K1,32,2018-07-28_K1_P00_35000_0032.png,bat_thresh:0.2&bat_area:3
32,262.0,258.5,K1,33,2018-07-28_K1_P00_35000_0033.png,bat_thresh:0.2&bat_area:3
33,255.0,262.5,K1,34,2018-07-28_K1_P00_35000_0034.png,bat_thresh:0.2&bat_area:3
34,249.5,266.5,K1,35,2018-07-28_K1_P00_35000_0035.png,bat_thresh:0.2&bat_area:3
35,243.00003051757812,271.0,K1,36,2018-07-28_K1_P00_35000_0036.png,bat_thresh:0.2&bat_area:3
36,236.5,276.5,K1,37,2018-07-28_K1_P00_35000_0037.png,bat_thresh:0.2&bat_area:3
37,231.50003051757812,281.0000305175781,K1,38,2018-07-28_K1_P00_35000_0038.png,bat_thresh:0.2&bat_area:3
38,224.34613037109375,287.23077392578125,K1,39,2018-07-28_K1_P00_35000_0039.png,bat_thresh:0.2&bat_area:3
39,218.96151733398438,293.69232177734375,K1,40,2018-07-28_K1_P00_35000_0040.png,bat_thresh:0.2&bat_area:3
40,212.5,299.5,K1,41,2018-07-28_K1_P00_35000_0041.png,bat_thresh:0.2&bat_area:3
41,205.40000915527344,305.6999816894531,K1,42,2018-07-28_K1_P00_35000_0042.png,bat_thresh:0.2&bat_area:3
42,198.00001525878906,312.0000305175781,K1,43,2018-07-28_K1_P00_35000_0043.png,bat_thresh:0.2&bat_area:3
43,191.5,318.5,K1,44,2018-07-28_K1_P00_35000_0044.png,bat_thresh:0.2&bat_area:3
44,183.54998779296875,323.1499938964844,K1,45,2018-07-28_K1_P00_35000_0045.png,bat_thresh:0.2&bat_area:3
45,173.2000274658203,328.9000244140625,K1,46,2018-07-28_K1_P00_35000_0046.png,bat_thresh:0.2&bat_area:3
46,164.05404663085938,334.3243103027344,K1,47,2018-07-28_K1_P00_35000_0047.png,bat_thresh:0.2&bat_area:3
47,152.6999969482422,340.1000061035156,K1,48,2018-07-28_K1_P00_35000_0048.png,bat_thresh:0.2&bat_area:3
48,141.25,344.75,K1,49,2018-07-28_K1_P00_35000_0049.png,bat_thresh:0.2&bat_area:3
49,127.50003051757812,349.5000305175781,K1,50,2018-07-28_K1_P00_35000_0050.png,bat_thresh:0.2&bat_area:3
50,113.60000610351562,355.3000183105469,K1,51,2018-07-28_K1_P00_35000_0051.png,bat_thresh:0.2&bat_area:3
51,97.76921081542969,362.1537780761719,K1,52,2018-07-28_K1_P00_35000_0052.png,bat_thresh:0.2&bat_area:3
52,81.72307586669922,370.515380859375,K1,53,2018-07-28_K1_P00_35000_0053.png,bat_thresh:0.2&bat_area:3
53,62.999996185302734,379.5,K1,54,2018-07-28_K1_P00_35000_0054.png,bat_thresh:0.2&bat_area:3
54,42.69116973876953,386.9852600097656,K1,55,2018-07-28_K1_P00_35000_0055.png,bat_thresh:0.2&bat_area:3
55,19.691017150878906,396.5056457519531,K1,56,2018-07-28_K1_P00_35000_0056.png,bat_thresh:0.2&bat_area:3
56,3.0,401.5,K1,57,2018-07-28_K1_P00_35000_0057.png,bat_thresh:0.2&bat_area:3
57,235.5,274.5,K2,1,2018-07-28_K2_P00_35000_0001.png,bat_thresh:0.2&bat_area:3
58,238.25001525878906,276.25,K2,2,2018-07-28_K2_P00_35000_0002.png,bat_thresh:0.2&bat_area:3
59,241.10000610351562,279.20001220703125,K2,3,2018-07-28_K2_P00_35000_0003.png,bat_thresh:0.2&bat_area:3
60,243.5,283.5,K2,4,2018-07-28_K2_P00_35000_0004.png,bat_thresh:0.2&bat_area:3
61,245.5,288.0,K2,5,2018-07-28_K2_P00_35000_0005.png,bat_thresh:0.2&bat_area:3
62,247.40000915527344,292.7000427246094,K2,6,2018-07-28_K2_P00_35000_0006.png,bat_thresh:0.2&bat_area:3
63,248.5,297.0,K2,7,2018-07-28_K2_P00_35000_0007.png,bat_thresh:0.2&bat_area:3
64,249.0,302.5,K2,8,2018-07-28_K2_P00_35000_0008.png,bat_thresh:0.2&bat_area:3
65,249.5,307.5,K2,9,2018-07-28_K2_P00_35000_0009.png,bat_thresh:0.2&bat_area:3
66,250.07691955566406,312.88458251953125,K2,10,2018-07-28_K2_P00_35000_0010.png,bat_thresh:0.2&bat_area:3
67,248.5,317.0,K2,11,2018-07-28_K2_P00_35000_0011.png,bat_thresh:0.2&bat_area:3
68,247.25003051757812,321.7500305175781,K2,12,2018-07-28_K2_P00_35000_0012.png,bat_thresh:0.2&bat_area:3
69,246.0,326.0,K2,13,2018-07-28_K2_P00_35000_0013.png,bat_thresh:0.2&bat_area:3
70,244.50001525878906,329.5,K2,14,2018-07-28_K2_P00_35000_0014.png,bat_thresh:0.2&bat_area:3
71,241.50003051757812,332.5000305175781,K2,15,2018-07-28_K2_P00_35000_0015.png,bat_thresh:0.2&bat_area:3
72,239.00003051757812,335.5000305175781,K2,16,2018-07-28_K2_P00_35000_0016.png,bat_thresh:0.2&bat_area:3
73,230.00003051757812,340.0000305175781,K2,19,2018-07-28_K2_P00_35000_0019.png,bat_thresh:0.2&bat_area:3
74,228.40000915527344,339.3000183105469,K2,20,2018-07-28_K2_P00_35000_0020.png,bat_thresh:0.2&bat_area:3
75,225.5499725341797,337.8500061035156,K2,21,2018-07-28_K2_P00_35000_0021.png,bat_thresh:0.2&bat_area:3
76,223.0,337.0,K2,22,2018-07-28_K2_P00_35000_0022.png,bat_thresh:0.2&bat_area:3
77,220.50003051757812,334.0000305175781,K2,23,2018-07-28_K2_P00_35000_0023.png,bat_thresh:0.2&bat_area:3
78,218.0,331.5,K2,24,2018-07-28_K2_P00_35000_0024.png,bat_thresh:0.2&bat_area:3
79,216.50003051757812,329.0000305175781,K2,25,2018-07-28_K2_P00_35000_0025.png,bat_thresh:0.2&bat_area:3
80,213.6000213623047,326.79998779296875,K2,26,2018-07-28_K2_P00_35000_0026.png,bat_thresh:0.2&bat_area:3
81,210.00003051757812,324.0000305175781,K2,27,2018-07-28_K2_P00_35000_0027.png,bat_thresh:0.2&bat_area:3
82,206.5,321.5,K2,28,2018-07-28_K2_P00_35000_0028.png,bat_thresh:0.2&bat_area:3
83,203.0,320.5,K2,29,2018-07-28_K2_P00_35000_0029.png,bat_thresh:0.2&bat_area:3
84,198.5,319.5,K2,30,2018-07-28_K2_P00_35000_0030.png,bat_thresh:0.2&bat_area:3
85,6.0,365.0,K2,31,2018-07-28_K2_P00_35000_0031.png,bat_thresh:0.2&bat_area:3
86,193.60000610351562,320.3000183105469,K2,31,2018-07-28_K2_P00_35000_0031.png,bat_thresh:0.2&bat_area:3
87,19.0,360.5,K2,32,2018-07-28_K2_P00_35000_0032.png,bat_thresh:0.2&bat_area:3
88,190.0,320.5,K2,32,2018-07-28_K2_P00_35000_0032.png,bat_thresh:0.2&bat_area:3
89,37.0,360.0,K2,33,2018-07-28_K2_P00_35000_0033.png,bat_thresh:0.2&bat_area:3
90,185.5,321.5,K2,33,2018-07-28_K2_P00_35000_0033.png,bat_thresh:0.2&bat_area:3
91,52.07756805419922,353.6810302734375,K2,34,2018-07-28_K2_P00_35000_0034.png,bat_thresh:0.2&bat_area:3
92,181.5,324.5,K2,34,2018-07-28_K2_P00_35000_0034.png,bat_thresh:0.2&bat_area:3
93,65.43965911865234,346.52587890625,K2,35,2018-07-28_K2_P00_35000_0035.png,bat_thresh:0.2&bat_area:3
94,68.00000762939453,343.5000305175781,K2,35,2018-07-28_K2_P00_35000_0035.png,bat_thresh:0.2&bat_area:3
95,177.70001220703125,325.9000244140625,K2,35,2018-07-28_K2_P00_35000_0035.png,bat_thresh:0.2&bat_area:3
96,83.20001220703125,342.6000061035156,K2,36,2018-07-28_K2_P00_35000_0036.png,bat_thresh:0.2&bat_area:3
97,175.00001525878906,328.0000305175781,K2,36,2018-07-28_K2_P00_35000_0036.png,bat_thresh:0.2&bat_area:3
98,96.10002136230469,334.70001220703125,K2,37,2018-07-28_K2_P00_35000_0037.png,bat_thresh:0.2&bat_area:3
99,171.5,331.5,K2,37,2018-07-28_K2_P00_35000_0037.png,bat_thresh:0.2&bat_area:3
100,109.82354736328125,324.79412841796875,K2,38,2018-07-28_K2_P00_35000_0038.png,bat_thresh:0.2&bat_area:3
101,167.6999969482422,336.3999938964844,K2,39,2018-07-28_K2_P00_35000_0039.png,bat_thresh:0.2&bat_area:3
102,125.1153793334961,318.5769348144531,K2,39,2018-07-28_K2_P00_35000_0039.png,bat_thresh:0.2&bat_area:3
103,139.3000030517578,309.8999938964844,K2,40,2018-07-28_K2_P00_35000_0040.png,bat_thresh:0.2&bat_area:3
104,165.0,341.5,K2,41,2018-07-28_K2_P00_35000_0041.png,bat_thresh:0.2&bat_area:3
105,149.40000915527344,298.800048828125,K2,41,2018-07-28_K2_P00_35000_0041.png,bat_thresh:0.2&bat_area:3
106,164.00001525878906,344.5000305175781,K2,42,2018-07-28_K2_P00_35000_0042.png,bat_thresh:0.2&bat_area:3
107,162.49998474121094,291.4999694824219,K2,42,2018-07-28_K2_P00_35000_0042.png,bat_thresh:0.2&bat_area:3
108,163.00001525878906,347.0000305175781,K2,43,2018-07-28_K2_P00_35000_0043.png,bat_thresh:0.2&bat_area:3
109,177.25001525878906,282.7500305175781,K2,43,2018-07-28_K2_P00_35000_0043.png,bat_thresh:0.2&bat_area:3
110,162.25,349.2500305175781,K2,44,2018-07-28_K2_P00_35000_0044.png,bat_thresh:0.2&bat_area:3
111,186.20001220703125,270.10003662109375,K2,44,2018-07-28_K2_P00_35000_0044.png,bat_thresh:0.2&bat_area:3
112,161.5,350.0,K2,45,2018-07-28_K2_P00_35000_0045.png,bat_thresh:0.2&bat_area:3
113,195.83078002929688,259.453857421875,K2,45,2018-07-28_K2_P00_35000_0045.png,bat_thresh:0.2&bat_area:3
114,198.50001525878906,250.50001525878906,K2,45,2018-07-28_K2_P00_35000_0045.png,bat_thresh:0.2&bat_area:3
115,160.00001525878906,351.5,K2,46,2018-07-28_K2_P00_35000_0046.png,bat_thresh:0.2&bat_area:3
116,207.00003051757812,250.50003051757812,K2,46,2018-07-28_K2_P00_35000_0046.png,bat_thresh:0.2&bat_area:3
117,159.40000915527344,352.7000427246094,K2,47,2018-07-28_K2_P00_35000_0047.png,bat_thresh:0.2&bat_area:3
118,217.45899963378906,238.04916381835938,K2,47,2018-07-28_K2_P00_35000_0047.png,bat_thresh:0.2&bat_area:3
119,158.20001220703125,353.9000244140625,K2,48,2018-07-28_K2_P00_35000_0048.png,bat_thresh:0.2&bat_area:3
120,224.18292236328125,224.8536376953125,K2,48,2018-07-28_K2_P00_35000_0048.png,bat_thresh:0.2&bat_area:3
121,156.75001525878906,354.2500305175781,K2,49,2018-07-28_K2_P00_35000_0049.png,bat_thresh:0.2&bat_area:3
122,233.25,213.75,K2,49,2018-07-28_K2_P00_35000_0049.png,bat_thresh:0.2&bat_area:3
123,154.5,354.0,K2,50,2018-07-28_K2_P00_35000_0050.png,bat_thresh:0.2&bat_area:3
124,243.3991241455078,202.02359008789062,K2,50,2018-07-28_K2_P00_35000_0050.png,bat_thresh:0.2&bat_area:3
125,152.75001525878906,353.7500305175781,K2,51,2018-07-28_K2_P00_35000_0051.png,bat_thresh:0.2&bat_area:3
126,249.70001220703125,187.89999389648438,K2,51,2018-07-28_K2_P00_35000_0051.png,bat_thresh:0.2&bat_area:3
127,150.20001220703125,355.5999755859375,K2,52,2018-07-28_K2_P00_35000_0052.png,bat_thresh:0.2&bat_area:3
128,256.31195068359375,173.20643615722656,K2,52,2018-07-28_K2_P00_35000_0052.png,bat_thresh:0.2&bat_area:3
129,146.75001525878906,356.75,K2,53,2018-07-28_K2_P00_35000_0053.png,bat_thresh:0.2&bat_area:3
130,260.5538635253906,156.9307861328125,K2,53,2018-07-28_K2_P00_35000_0053.png,bat_thresh:0.2&bat_area:3
131,143.1999969482422,358.60003662109375,K2,54,2018-07-28_K2_P00_35000_0054.png,bat_thresh:0.2&bat_area:3
132,273.20770263671875,141.83847045898438,K2,54,2018-07-28_K2_P00_35000_0054.png,bat_thresh:0.2&bat_area:3
133,137.5,359.5,K2,55,2018-07-28_K2_P00_35000_0055.png,bat_thresh:0.2&bat_area:3
134,276.2500305175781,123.75,K2,55,2018-07-28_K2_P00_35000_0055.png,bat_thresh:0.2&bat_area:3
135,130.0,361.5,K2,56,2018-07-28_K2_P00_35000_0056.png,bat_thresh:0.2&bat_area:3
136,284.041015625,106.4508285522461,K2,56,2018-07-28_K2_P00_35000_0056.png,bat_thresh:0.2&bat_area:3
137,120.0,361.5,K2,57,2018-07-28_K2_P00_35000_0057.png,bat_thresh:0.2&bat_area:3
138,289.300048828125,86.90000915527344,K2,57,2018-07-28_K2_P00_35000_0057.png,bat_thresh:0.2&bat_area:3
139,109.5,362.5,K2,58,2018-07-28_K2_P00_35000_0058.png,bat_thresh:0.2&bat_area:3
140,297.37811279296875,67.90245056152344,K2,58,2018-07-28_K2_P00_35000_0058.png,bat_thresh:0.2&bat_area:3
141,97.0,363.5,K2,59,2018-07-28_K2_P00_35000_0059.png,bat_thresh:0.2&bat_area:3
142,306.1153869628906,46.57692337036133,K2,59,2018-07-28_K2_P00_35000_0059.png,bat_thresh:0.2&bat_area:3
143,81.85135650634766,364.1081237792969,K2,60,2018-07-28_K2_P00_35000_0060.png,bat_thresh:0.2&bat_area:3
144,313.9275817871094,22.768966674804688,K2,60,2018-07-28_K2_P00_35000_0060.png,bat_thresh:0.2&bat_area:3
145,65.5,366.5,K2,61,2018-07-28_K2_P00_35000_0061.png,bat_thresh:0.2&bat_area:3
146,321.7691955566406,3.346132278442383,K2,61,2018-07-28_K2_P00_35000_0061.png,bat_thresh:0.2&bat_area:3
147,45.89023971557617,368.01220703125,K2,62,2018-07-28_K2_P00_35000_0062.png,bat_thresh:0.2&bat_area:3
148,23.88461685180664,371.0769348144531,K2,63,2018-07-28_K2_P00_35000_0063.png,bat_thresh:0.2&bat_area:3
149,5.0,372.5,K2,64,2018-07-28_K2_P00_35000_0064.png,bat_thresh:0.2&bat_area:3
150,5.5,359.5,K2,71,2018-07-28_K2_P00_35000_0071.png,bat_thresh:0.2&bat_area:3
151,18.5,359.5,K2,72,2018-07-28_K2_P00_35000_0072.png,bat_thresh:0.2&bat_area:3
152,32.49999237060547,358.5,K2,73,2018-07-28_K2_P00_35000_0073.png,bat_thresh:0.2&bat_area:3
153,46.0,357.5,K2,74,2018-07-28_K2_P00_35000_0074.png,bat_thresh:0.2&bat_area:3
154,59.5,356.0,K2,75,2018-07-28_K2_P00_35000_0075.png,bat_thresh:0.2&bat_area:3
155,383.4659423828125,423.6822509765625,K3,1,2018-07-28_K3_P00_35000_0001.png,bat_thresh:0.2&bat_area:3
156,351.75,429.7500305175781,K3,1,2018-07-28_K3_P00_35000_0001.png,bat_thresh:0.2&bat_area:3
157,383.5,393.5,K3,1,2018-07-28_K3_P00_35000_0001.png,bat_thresh:0.2&bat_area:3
158,388.8000793457031,391.9000549316406,K3,1,2018-07-28_K3_P00_35000_0001.png,bat_thresh:0.2&bat_area:3
159,347.32354736328125,220.70591735839844,K3,1,2018-07-28_K3_P00_35000_0001.png,bat_thresh:0.2&bat_area:3
160,511.5,444.5,K3,2,2018-07-28_K3_P00_35000_0002.png,bat_thresh:0.2&bat_area:3
161,515.7500610351562,438.2500305175781,K3,2,2018-07-28_K3_P00_35000_0002.png,bat_thresh:0.2&bat_area:3
162,508.0199890136719,436.86004638671875,K3,2,2018-07-28_K3_P00_35000_0002.png,bat_thresh:0.2&bat_area:3
163,486.2545166015625,410.84503173828125,K3,2,2018-07-28_K3_P00_35000_0002.png,bat_thresh:0.2&bat_area:3
164,497.7500305175781,428.2500305175781,K3,2,2018-07-28_K3_P00_35000_0002.png,bat_thresh:0.2&bat_area:3
165,495.00006103515625,424.50006103515625,K3,2,2018-07-28_K3_P00_35000_0002.png,bat_thresh:0.2&bat_area:3
166,507.0000305175781,420.0000305175781,K3,2,2018-07-28_K3_P00_35000_0002.png,bat_thresh:0.2&bat_area:3
167,505.50006103515625,418.00006103515625,K3,2,2018-07-28_K3_P00_35000_0002.png,bat_thresh:0.2&bat_area:3
168,461.5000305175781,418.0000305175781,K3,2,2018-07-28_K3_P00_35000_0002.png,bat_thresh:0.2&bat_area:3
169,446.5000305175781,412.0000305175781,K3,2,2018-07-28_K3_P00_35000_0002.png,bat_thresh:0.2&bat_area:3
